title,gender,price,source
Top,dames,12.90,ca
Bikinibroekje,dames,9.90,ca
Basic-sokken - 5 paar,dames,7.00,ca
Topje - gestreept,dames,12.90,ca
Chiffon-kokerjurk met stola - feestelijk,dames,99.00,ca
Sokken - 10 paar,dames,7.00,ca
Top - gestreept,dames,9.90,ca
THE C&A BALCONETTE - gewatteerd,dames,14.00,ca
Hipster,dames,9.00,ca
Sportlegging,dames,15.00,ca
Hipster,dames,9.00,ca
Fit & flare-jurk,dames,129.00,ca
Sokken - biokatoen - 7 paar,dames,9.90,ca
Bikinitopje - gewatteerd,dames,12.90,ca
Slip,dames,9.00,ca
Bikinibroekje,dames,7.90,ca
BH met beugels,dames,17.00,ca
Slip - buik weg-effect,dames,12.00,ca
THE C&A FULL COVERAGE,dames,19.00,ca
Topje,dames,12.90,ca
Fit & flare-jurk - feestelijk,dames,79.90,ca
A-lijn-jurk,dames,39.90,ca
Bolero - feestelijk,dames,29.90,ca
Jumpsuit - glanseffect,dames,59.90,ca
Fit & flare-jurk - feestelijk,dames,59.90,ca
Fit & flare-jurk - feestelijk - gestreept,dames,79.90,ca
Jeansrok,dames,19.90,ca
Rok,dames,19.90,ca
Poloshirt - biokatoen,dames,7.00,ca
THE C&A DEMI - gewatteerd,dames,3.00,ca
Sjaal - geruit,dames,9.90,ca
Kokerjurk,dames,24.90,ca
Bigshirt - biokatoen - met stippen,dames,14.90,ca
Bigshirt - biokatoen,dames,14.90,ca
Broek,dames,19.90,ca
Topje - biokatoen,dames,7.00,ca
Zwangerschapstuinshorts,dames,29.90,ca
Snoopy - pyjama - biokatoen,dames,19.90,ca
THE JEGGING JEANS,dames,8.90,ca
Schoudertas,dames,14.90,ca
THE SKINNY JEANS - LYCRA® X-FIT,dames,39.00,ca
THE SKINNY JEANS - LYCRA® X-FIT,dames,39.00,ca
Bustier - naadloos,dames,9.00,ca
Basic jurk - met stippen,dames,8.00,ca
Basic-jurk - met strepen,dames,8.00,ca
Blouse,dames,17.90,ca
Sport-T-shirt,dames,12.90,ca
THE BERMUDA JEANS,dames,19.90,ca
Topje - biokatoen,dames,2.90,ca
Hipsters - biokatoen - set met 3 stuks,dames,9.00,ca
Pyjamashirt,dames,9.90,ca
THE SKINNY JEANS,dames,29.90,ca
THE SKINNY JEANS,dames,9.90,ca
Fit & flare-jurk,dames,24.90,ca
Joggingbroek,dames,19.90,ca
Kokerjurk,dames,59.90,ca
T-shirt - biokatoen,dames,4.50,ca
Bikinibroekje,dames,9.90,ca
Bikinitopje - gewatteerd,dames,12.90,ca
Bikinitop met beugels - gewatteerd,dames,12.90,ca
THE SKINNY JEANS,dames,24.90,ca
Shopper,dames,14.90,ca
Sjaal - geruit,dames,9.90,ca
Fit & flare-jurk,dames,29.90,ca
THE C&A DEMI - gewatteerd,dames,3.00,ca
Sjaal - gestreept,dames,9.90,ca
Colsjaal,dames,5.00,ca
Schoudertas,dames,14.90,ca
Tuniek - met stippen,dames,14.90,ca
Basic-gebreid vest,dames,14.90,ca
Sportlegging,dames,7.00,ca
Basic-trui,dames,12.00,ca
Sjaal,dames,9.90,ca
THE SLIM JEANS,dames,18.90,ca
THE SHORT JEANS,dames,19.90,ca
Tuniek,dames,19.90,ca
Schoudertas,dames,14.90,ca
Basic-T-shirt - biokatoen,dames,4.50,ca
Schoudertas,dames,9.00,ca
Broek,dames,14.90,ca
Sjaaltje,dames,3.90,ca
T-shirt,dames,5.00,ca
Haarband,dames,3.90,ca
T-shirt - met strepen,dames,3.50,ca
Poloshirt,dames,3.50,ca
Slip,dames,2.90,ca
Hipster,dames,3.90,ca
Slip - glanseffect,dames,2.90,ca
THE C&A DEMI - gewatteerd,dames,7.90,ca
T-shirt,dames,7.90,ca
String,dames,3.90,ca
Zijden sjaaltje,dames,7.90,ca
Blouse,dames,12.90,ca
THE C&A BALCONETTE - gewatteerd,dames,9.90,ca
THE C&A FULL COVERAGE - gewatteerd - glanseffect,dames,7.90,ca
Blouse,dames,12.90,ca
THE C&A DEMI - push-up - glanseffect,dames,7.90,ca
THE C&A PLUNGE - gewatteerd,dames,9.90,ca
Broek met riem - palazzo,dames,22.90,ca
Bikinibroekje,dames,4.90,ca
Blouse,dames,19.90,ca
Parka,dames,34.90,ca
Blazer,dames,34.90,ca
Blouse,dames,19.90,ca
Blouse - glanseffect,dames,11.90,ca
Longsleeve,dames,5.00,ca
Longsleeve,dames,9.90,ca
Poloshirt,dames,5.00,ca
T-shirt,dames,3.00,ca
Legging - geruit,dames,4.90,ca
Fietsbroek,dames,7.49,ca
Legging,dames,4.50,ca
T-shirt,dames,7.90,ca
Rok,dames,5.90,ca
Broek - culotte,dames,11.90,ca
Gebreid vest,dames,16.90,ca
Basic-T-shirt - biokatoen,dames,2.90,ca
Zwangerschapsshorts,dames,12.90,ca
Gebreid vest,dames,7.00,ca
Vest,dames,7.00,ca
Hipster,dames,3.90,ca
THE C&A DEMI - gewatteerd,dames,7.90,ca
Bustier,dames,2.90,ca
Sweatshirt - 2-in-1-look,dames,7.90,ca
