,articlecode,category,heading,href,price,quality,swatches
3012,0708499004,ladies_tops_vests,Tricot top met kant,/nl_nl/productpage.0708499004.html,9.99,,['Mintgroen/bloemen']
3013,0673922007,ladies_dresses_shortdresses,Glitterende jurk,/nl_nl/productpage.0673922007.html,29.99,,['Zwart']
3014,0745321001,ladies_dresses_shortdresses,Jurk met volants,/nl_nl/productpage.0745321001.html,19.99,,['Wit/bloemen']
3015,0790821001,ladies_trousers_leggings,Glanzende legging,/nl_nl/productpage.0790821001.html,14.99,,['Donkergrijs']
3016,0752281001,ladies_maternity_nursing,MAMA Voedingstop,/nl_nl/productpage.0752281001.html,29.99,,['Wit']
3017,0698718001,ladies_shorts_jeans,Denim short - High waist,/nl_nl/productpage.0698718001.html,19.99,,['Licht denimblauw']
3018,0709996002,ladies_dresses_shortdresses,Jurk met strikceintuur,/nl_nl/productpage.0709996002.html,19.99,,['Donker mosgroen']
3019,0692115002,ladies_skirts_shortskirts,Korte denim rok,/nl_nl/productpage.0692115002.html,29.99,,['Zwart']
3020,0753255001,ladies_tops_shortsleeve,Korte top,/nl_nl/productpage.0753255001.html,7.99,,['Zwart/biezen']
3021,0560221012,ladies_swimwear_bikinitops,Padded triangelbikinitop,/nl_nl/productpage.0560221012.html,11.99,,['Zwart/bloemen']
3022,0612295005,ladies_shorts,Denim salopetteshort,/nl_nl/productpage.0612295005.html,24.99,,['Zwart']
3023,0700395001,ladies_trousers_loose,Pull-on broek,/nl_nl/productpage.0700395001.html,19.99,,['Zwart']
3024,0672077003,ladies_dresses_mididresses,Off-the-shoulderjurk,/nl_nl/productpage.0672077003.html,14.99,,['Gebroken wit/dessin']
3025,0640613003,ladies_tops_shortsleeve,Fijngebreide top,/nl_nl/productpage.0640613003.html,14.99,,['Lichtbeige']
3026,0716672003,ladies_tops_vests,Straptop met V-hals,/nl_nl/productpage.0716672003.html,14.99,,['Zwart']
3027,0739575002,ladies_tops_vests,Tanktop van katoenmix,/nl_nl/productpage.0739575002.html,7.99,,['Wit']
3028,0746627003,ladies_dresses_shortdresses,Jurk met knoopsluiting,/nl_nl/productpage.0746627003.html,24.99,,['Geel/bloemen']
3029,0698302016,ladies_hoodiesswetshirts_sweatshirts,Capuchonsweater,/nl_nl/productpage.0698302016.html,19.99,,['Taupe/NASA']
3030,0722313001,ladies_shoes_pumps_highheels,Pumps met ronde hak,/nl_nl/productpage.0722313001.html,29.99,,['Zwart']
3031,0692001001,ladies_maternity_dresses,MAMA Jurk met V-hals,/nl_nl/productpage.0692001001.html,29.99,,['Donkerblauw/witte stippen']
3032,0779920001,ladies_accessories_jewellery_earrings,4 paar oorbellen,/nl_nl/productpage.0779920001.html,12.99,,['Goudkleurig/zwart gemêleerd']
3033,0715780002,ladies_plus_tops,H&M+ Off-the-shouldertop,/nl_nl/productpage.0715780002.html,19.99,,['Donkergrijs']
3034,0653277005,ladies_maternity_tops,MAMA Tuniek met dessin,/nl_nl/productpage.0653277005.html,29.99,,['Lichtbeige/bloemen']
3035,0740461003,ladies_dresses_shortdresses,Nauwsluitende halterjurk,/nl_nl/productpage.0740461003.html,14.99,,['Bruin']
3036,0723090004,ladies_shirtsblouses_blouses,Blouse met strikbanden,/nl_nl/productpage.0723090004.html,39.99,,['Lichtblauw']
