,articlecode,category,heading,href,price,quality,swatches
1906,0738713004,men_hoodiessweatshirts_hoodies,Capuchonsweater met motief,/nl_nl/productpage.0738713004.html,24.99,,['Grijs gemêleerd/Williamsburg']
1907,0513701012,men_tshirtstanks_shortsleeve,Set van 3 T-shirts,/nl_nl/productpage.0513701012.html,19.99,,['Bordeauxrood/meerkleurig']
1908,0632817001,men_cardigansjumpers_jumpers,Trui in blokkleuren,/nl_nl/productpage.0632817001.html,34.99,,['Grijs gemêleerd']
1909,0564311030,men_underwearloungewear,3 boxershorts - Mid trunk,/nl_nl/productpage.0564311030.html,14.99,,['Donkerblauw/donkergrijs gemêl.']
1910,0452898027,men_shorts,Sweatshort,/nl_nl/productpage.0452898027.html,14.99,,['Roomwit']
1911,0748401001,men_cardigansjumpers_jumpers,Henleyshirt van kasjmiermix,/nl_nl/productpage.0748401001.html,59.99,,['Donkerblauw']
1912,0550827033,men_hoodiessweatshirts,Sweater van zijdemix,/nl_nl/productpage.0550827033.html,49.99,,['Pruimenpaars']
1913,0701004001,men_trousers_trousers_skinny_all,Broek met dessin,/nl_nl/productpage.0701004001.html,24.99,,['Kakigroen/dessin']
1914,0501616074,men_shirt_dressed_slimfit,Easy Iron-overhemd - Slim fit,/nl_nl/productpage.0501616074.html,14.99,,['Bordeauxrood/wit stippen']
1915,0689071003,men_trousers_cargo,Utilitybroek - Slim fit,/nl_nl/productpage.0689071003.html,24.99,,['Donkerblauw']
1916,0720536004,men_shorts,Short - Relaxed fit,/nl_nl/productpage.0720536004.html,24.99,,['Lichtbeige']
1917,0733461001,men_hoodiessweatshirts_hoodies,Capuchonvest,/nl_nl/productpage.0733461001.html,24.99,,['Donkerblauw/rood']
1918,0774627002,men_shorts,Sweatshort met verlaagd kruis,/nl_nl/productpage.0774627002.html,9.99,,['Zwart/tijger']
1919,0716410001,men_jacketscoats_jackets,Baseballjack met borduursel,/nl_nl/productpage.0716410001.html,49.99,,['Zwart/draak']
1920,0350911006,men_accessories,Satijnen vlinderdas,/nl_nl/productpage.0350911006.html,9.99,,['Lichtgrijs']
